# Simulation 1 (Up to date)
# 1008 data points written for 6 variables.
# Simulation warnings:
#   Deploiement du systeme de recuperation à grande vitesse (41,6 m/s)
#
# Temps (s),Altitude (m),Accélération verticale (m/s²),Vitesse totale (m/s),Taux de roulis (°/s),Moment d'inertie longitudinale (kg·m²)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
13.233,2413.8,-13.16,118.54,4.0659e-6,3.1971
13.283,2419.2,-13.045,117.91,4.0404e-6,3.1971
13.333,2424.5,-12.902,117.29,4.1263e-6,3.1971
13.383,2429.8,-12.835,116.67,4.3458e-6,3.1971
13.433,2435.1,-12.854,116.05,4.6477e-6,3.1971
13.483,2440.3,-12.882,115.43,4.564e-6,3.1971
13.533,2445.5,-12.955,114.82,4.5534e-6,3.1971
13.583,2450.6,-13.011,114.21,4.4425e-6,3.1971
13.633,2455.8,-12.933,113.6,4.2373e-6,3.1971
13.683,2460.9,-12.783,112.99,4.239e-6,3.1971
13.733,2465.9,-12.55,112.39,4.2877e-6,3.1971
13.783,2471,-12.422,111.78,3.7908e-6,3.1971
13.833,2476,-12.389,111.18,3.7507e-6,3.1971
13.883,2480.9,-12.476,110.59,3.8946e-6,3.1971
13.933,2485.9,-12.61,109.99,3.8862e-6,3.1971
13.983,2490.8,-12.726,109.4,3.8483e-6,3.1971
14.033,2495.7,-12.768,108.81,3.6412e-6,3.1971
14.083,2500.5,-12.654,108.22,3.6281e-6,3.1971
14.133,2505.3,-12.476,107.63,3.8145e-6,3.1971
14.183,2510.1,-12.324,107.04,3.8602e-6,3.1971
14.233,2514.8,-12.192,106.46,4.0626e-6,3.1971
14.283,2519.6,-12.122,105.88,3.9636e-6,3.1971
14.333,2524.2,-12.199,105.3,4.2657e-6,3.1971
14.383,2528.9,-12.273,104.73,4.2725e-6,3.1971
14.433,2533.5,-12.365,104.15,4.4099e-6,3.1971
14.483,2538.1,-12.38,103.58,4.5881e-6,3.1971
14.533,2542.7,-12.293,103.01,4.7235e-6,3.1971
14.583,2547.2,-12.175,102.44,4.7189e-6,3.1971
14.633,2551.7,-12.03,101.88,4.7481e-6,3.1971
14.683,2556.2,-11.961,101.31,4.8888e-6,3.1971
14.733,2560.7,-11.918,100.75,4.9954e-6,3.1971
14.783,2565.1,-11.936,100.19,4.9429e-6,3.1971
14.833,2569.5,-11.943,99.634,4.9344e-6,3.1971
14.883,2573.8,-11.974,99.079,4.9121e-6,3.1971
14.933,2578.1,-12.027,98.525,4.9196e-6,3.1971
14.983,2582.4,-11.986,97.974,4.8622e-6,3.1971
15.033,2586.7,-11.945,97.424,4.9443e-6,3.1971
15.083,2590.9,-11.923,96.876,4.866e-6,3.1971
15.133,2595.1,-11.903,96.331,4.9231e-6,3.1971
15.183,2599.3,-11.803,95.788,4.9302e-6,3.1971
15.233,2603.5,-11.709,95.246,4.9289e-6,3.1971
15.283,2607.6,-11.598,94.707,4.996e-6,3.1971
15.333,2611.7,-11.562,94.17,5.0297e-6,3.1971
15.383,2615.7,-11.607,93.634,4.8779e-6,3.1971
15.433,2619.8,-11.693,93.101,4.8641e-6,3.1971
15.483,2623.8,-11.732,92.569,4.8605e-6,3.1971
15.533,2627.7,-11.721,92.039,4.9343e-6,3.1971
15.583,2631.7,-11.668,91.511,4.996e-6,3.1971
15.633,2635.6,-11.61,90.985,5.0188e-6,3.1971
15.683,2639.5,-11.58,90.461,4.9918e-6,3.1971
15.733,2643.3,-11.549,89.939,5.0173e-6,3.1971
15.783,2647.1,-11.486,89.419,5.006e-6,3.1971
15.833,2650.9,-11.432,88.901,4.9788e-6,3.1971
